,timeBlock,level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,level 9
76,76,Lc1 1,Lc3 2,Lc2 3,Lc1 3,Lc3 1,Lc1 2,Lc2 1,Lc2 2,BESS
77,77,Lc1 2,Lc1 1,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
78,78,Lc1 2,Lc1 1,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
79,79,Lc1 2,Lc1 1,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
80,80,Lc1 2,Lc1 1,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
81,81,Lc1 2,Lc1 1,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
82,82,Lc1 2,Lc1 1,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
83,83,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
84,84,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
85,85,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
86,86,Lc1 2,Lc1 1,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
87,87,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
88,88,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
89,89,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
90,90,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
91,91,Lc1 2,Lc1 1,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
92,92,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc2 2,BESS,Lc3 1
93,93,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
94,94,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
95,95,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
